"",,,Kharif,,,Rabi,,,Summer,,Total (Kharif + Rabi+Summer )
Sr.No,Crops,,,,,,,,,,
"",,Area,Production,Productivity,Area,Production,Productivity,Area,Production,Productivity,Area Production Productivity
1,Rice,1472.78,3132.49,2126.91,,,"#DIV/0!",102.55,302.97,2954.48,1575.33 3435.46 2180.78
2,Wheat,,,,1132.25,2144.25,1893.80,,,"#DIV/0!",1132.25 2144.25 1893.80
3,Jowar,339.46,262.46,773.19,1934.55,1878.17,970.86,11.23,9.34,831.42,2285.24 2149.97 940.81
4,Bajra,644.74,599.81,930.31,,,"#DIV/0!",21.98,18.78,854.31,666.72 618.58 927.80
5,Ragi,81.26,102.64,1262.97,,,"#DIV/0!",,,"#DIV/0!",81.26 102.64 1262.97
6,Maize,811.47,2186.29,2694.24,366.91,1285.41,3503.38,72.65,113.25,1558.72,1251.03 3584.95 2865.60
"",Other,,,,,,,,,,
7,,43.69,17.29,395.74,10.99,4.42,402.07,5.58,4.31,772.94,60.26 26.02 431.83
"",Cereals,,,,,,,,,,
"",Coarse,,,,,,,,,,
"",,1920.62,3168.49,1649.72,2312.45,3168.00,1369.98,111.45,145.68,1307.14,4344.51 6482.16 1492.03
"",Cereals,,,,,,,,,,
"",Total Cereals,3393.40,6300.97,1856.83,3444.70,5312.25,1542.15,214.00,448.65,2096.54,7052.09 12061.88 1710.40
8,Tur,1418.92,1649.52,1162.52,,,"#DIV/0!",,,"#DIV/0!",1418.92 1649.52 1162.52
9,Mung,415.19,205.27,494.40,,,"#DIV/0!",24.75,6.20,250.54,439.94 211.47 480.68
10,Udid,379.68,183.58,483.51,,,"#DIV/0!",0.41,0.22,538.91,380.09 183.80 483.57
11,Gram,,,,2372.18,2715.13,1144.57,,,"#DIV/0!",2372.18 2715.13 1144.57
12,Other Pulses,78.51,68.04,866.69,129.10,58.14,450.37,2.31,0.91,392.02,209.92 127.09 605.43
"",Total Pulses,2292.30,2106.41,918.91,2501.28,2773.27,1108.74,27.48,7.33,266.78,4821.05 4887.01 1013.68
"",Total,,,,,,,,,,
"",,5685.70,8407.38,1478.69,5945.97,8085.52,1359.83,241.47,455.98,1888.34,11873.15 16948.89 1427.50
"",Foodgrains,,,,,,,,,,
13,Groundnut,231.73,268.94,1160.56,,,"#DIV/0!",87.99,132.20,1502.45,319.72 401.14 1254.65
14,Sesamum,16.80,2.77,165.05,2.02,1.37,679.83,8.97,1.67,186.18,27.79 5.82 209.32
15,Nigerseed,5.88,0.88,150.23,,,"#DIV/0!",,,"#DIV/0!",5.88 0.88 150.23
16,Sunflower,10.55,4.64,439.63,4.10,4.16,1013.53,3.50,2.52,719.26,18.15 11.31 623.24
17,Soyabean,4526.48,5447.15,1203.40,,,"#DIV/0!",68.55,53.21,776.22,4595.03 5500.35 1197.02
18,Linseed,,,,6.45,2.71,420.18,,,"#DIV/0!",6.45 2.71 420.18
19,Safflower,,,,27.57,20.66,749.24,,,"#DIV/0!",27.57 20.66 749.24
"",Other,,,,,,,,,,
20,,2.92,0.88,300.01,23.43,9.10,388.50,6.54,1.33,203.78,32.89 11.31 343.91
"",Oilseed,,,,,,,,,,
"",Total,,,,,,,,,,
"",,4794.36,5725.25,1194.17,63.57,38.00,597.74,175.54,190.92,1087.62,5033.47 5954.18 1182.92
"",Oilseeds,,,,,,,,,,
"",Sugarcane,,,,,,,,,,
21,,1488.77,139159.19,93.47,,,,,,,1488.77 139159.19 93.47
"",(Harvested),,,,,,,,,,
22,Cotton (Lint),4409.97,7791.08,300.34,,,,,,,4409.97 7791.08 300.34
23,Tobacco,,,,0.53,0.79,1504.50,,,,0.53 0.79 1504.50
"",,16378.79,,,6010.07,,,417.02,,,22805.88
