"",,,,Kharif,,,Rabi,,,Summer,,Total (Kharif+Rabi+Summer)
Sr.No,,Crops,,,,,,,,,,
"",,,Area,Production,Productivity,Area,Production,Productivity,Area,Production,Productivity,Area Production Productivity
1,Rice,,1522.9,3496.4,2295.9,,,,164.5,467.0,2838.8,1687.4 3963.4 2348.8
2,Wheat,,,,,1203.6,2301.0,1911.7,,,,1203.6 2301.0 1911.7
3,Jowar,,150.5,140.6,933.9,1338.2,1395.3,1042.7,18.2,15.2,832.6,1507.0 1551.1 1029.3
4,Bajra,,491.3,536.3,1091.5,,,,47.7,42.7,895.0,539.0 578.9 1074.1
5,Ragi,,77.4,109.5,1414.7,,,,,,,77.4 109.5 1414.7
6,Maize,,838.6,2613.8,3116.8,400.3,1143.8,2857.7,74.9,130.5,1741.6,1313.8 3888.2 2959.4
7,Other  Cereals,,40.7,20.9,514.2,12.1,5.7,475.3,3.5,1.8,525.6,56.2 28.5 506.5
"",Coarse Cereals,,1598.6,3421.1,2140.1,1750.5,2544.9,1453.8,144.3,190.2,1317.8,3493.4 6156.2 1762.2
"",Total Cereals,,3121.5,6917.5,2216.1,2954.2,4845.9,1640.4,308.8,657.2,2128.1,6384.5 12420.6 1945.4
8,Tur,,1191.4,859.1,721.1,,,,,,,1191.4 859.1 721.1
9,Mung,,286.0,178.5,624.1,,,,13.1,2.5,187.8,299.1 180.9 605.0
10,Udid,,367.3,233.4,635.6,,,,0.5,0.3,520.0,367.8 233.7 635.4
11,Gram,,,,,2934.8,2974.1,1013.4,,,,2934.8 2974.1 1013.4
12,Other Pulses,,80.7,75.1,931.2,147.2,73.7,500.7,1.9,0.9,478.3,229.8 149.8 651.7
"",Total Pulses,,1925.3,1346.2,699.2,3082.1,3047.9,988.9,15.5,3.6,233.9,5022.9 4397.7 875.5
"",Total Foodgrains,,5046.8,8263.7,1637.4,6036.2,7893.8,1307.7,324.3,660.8,2037.5,11407.3 16818.3 1474.3
13,Groundnut,,165.5,205.2,1240.0,,,,88.7,129.6,1461.5,254.1 334.8 1317.3
14,Sesamum,,6.4,1.6,256.3,1.5,0.5,335.0,11.5,2.1,180.7,19.4 4.2 217.8
15,Nigerseed,,5.5,2.1,386.7,,,,,,,5.5 2.1 386.7
16,Sunflower,,11.8,4.9,413.8,4.4,3.5,787.5,7.1,6.1,855.6,23.3 14.5 619.4
17,Soyabean,,4892.7,6679.9,1365.3,,,,25.6,18.8,734.1,4918.3 6698.7 1362.0
18,Linseed,,,,,5.4,1.9,348.7,,,,5.4 1.9 348.7
19,Safflower,,,,,31.3,24.0,766.6,,,,31.3 24.0 766.6
20,Other Oilseed,,3.1,1.1,342.6,29.8,9.4,315.2,1.0,0.3,355.4,33.9 10.8 318.8
"",Total Oilseeds,,5085.0,6894.8,1355.9,72.5,39.3,541.9,133.9,157.0,1172.0,5291.3 7091.0 1340.1
"",Sugarcane,,,,,,,,,,,
21,,,1487.8,135754.3,91.2,,,,,,,1487.8 135754.3 91.2
"",(Harvested),,,,,,,,,,,
22,Cotton (Lint),,4240.0,8590.9,344.4,,,,,,,4240.0 8590.9 344.4
23,,Tobacco,,,,0.8,2.2,2637.3,,,,0.8 2.2 2637.3
"",,,15859.57,,,6109.55,,,458.23,,,22427.35
